buyer_name_raw,buyer_name_canonical
UK SHARED BUSINESS SERVICES LIMITED,UK SHARED BUSINESS SERVICES LIMITED
Mosscare St Vincent's Housing Group Limited,Mosscare St Vincent's Housing Group Limited
UK Research and Innovation,UK Research and Innovation
UK Research & Innovation,UK Research and Innovation
Haslingfield Parish Council,Haslingfield Parish Council
Haslington Parish Council,Haslingfield Parish Council
South Ribble Borough Council,South Ribble Borough Council
Skanska Infrastructure (Rail),Skanska Infrastructure (Rail)
Dodington Parish Council,Dodington Parish Council
Oil and Pipelines Agency,Oil and Pipelines Agency
University Hospitals Sussex NHS Foundation Trust,University Hospitals Sussex NHS Foundation Trust
Arcadis (UK) Limited,Arcadis (UK) Limited
Ogbourne St George Parish Council,Ogbourne St George Parish Council
The Mayor and Commonalty and Citizens of the City of London,The Mayor and Commonalty and Citizens of the City of London
Corserv Solutions Ltd,Corserv Solutions Ltd
J Murphy & Sons Limited,J Murphy & Sons Limited
Royal Sutton Coldfield Town Council,Royal Sutton Coldfield Town Council
Ripon City Council,Ripon City Council
The Princess Alexandra Health Trust,The Princess Alexandra Health Trust
NHS Salisbury Foundation Trust,NHS Salisbury Foundation Trust
NUNEATON AND BEDWORTH COMMUNITY ENTERPRISES LIMITED,NUNEATON AND BEDWORTH COMMUNITY ENTERPRISES LIMITED
JOHN GRAHAM CONSTRUCTION LIMITED,JOHN GRAHAM CONSTRUCTION LIMITED
NHS Property Services,NHS Property Services
London Borough of Hammersmith & Fulham,London Borough of Hammersmith & Fulham
Science Museum Group,Science Museum Group
United Lincolnshire Teaching Hospitals NHS Trust,United Lincolnshire Teaching Hospitals NHS Trust
Crescent Purchasing Consortium Limited,Crescent Purchasing Consortium Limited
London Borough of Brent,London Borough of Brent
London Borough of Bromley,London Borough of Brent
LONDON BOROUGH OF BRENT,London Borough of Brent
Maidstone Borough Council,Maidstone Borough Council
Gloucestershire County Council,Gloucestershire County Council
Malvern Town Council,Malvern Town Council
Newport & Carisbrooke Community Council,Newport & Carisbrooke Community Council
Vanguard Learning Trust,Vanguard Learning Trust
Platform Housing Group,Platform Housing Group
LiveWest Homes Limited,LiveWest Homes Limited
Cheshire East Borough Council,Cheshire East Borough Council
Offshore Renewable Energy Catapult,Offshore Renewable Energy Catapult
University Hospitals Birmingham NHS Foundation Trust,University Hospitals Birmingham NHS Foundation Trust
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority
Forestry England (for and on behalf of the Forestry Commission),Forestry England (for and on behalf of the Forestry Commission)
North East Lincolnshire Council,North East Lincolnshire Council
East Riding of Yorkshire Council,East Riding of Yorkshire Council
AGRATAS LIMITED,AGRATAS LIMITED
AMEY DEFENCE SERVICES LIMITED,AMEY DEFENCE SERVICES LIMITED
THE ASSOCIATION OF NORTH EAST COUNCILS LIMITED,THE ASSOCIATION OF NORTH EAST COUNCILS LIMITED
The Corporation of Trinity House of Deptford Strond,The Corporation of Trinity House of Deptford Strond
Warwick District Council (WDC),Warwick District Council (WDC)
The Walton Centre NHS Foundation Trust,The Walton Centre NHS Foundation Trust
NHDC - Parks and Open Spaces,NHDC - Parks and Open Spaces
ProcurePublic Limited,ProcurePublic Limited
Kier Transportation - CP7 NWC,Kier Transportation - CP7 NWC
Derby Homes Limited,Derby Homes Limited
LIFECYCLE MANAGEMENT GROUP LIMITED,LIFECYCLE MANAGEMENT GROUP LIMITED
MERSEY & WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,MERSEY & WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST
London Luton Airport Operations Limited,London Luton Airport Operations Limited
The Police and Crime Commissioner for Derbyshire,The Police and Crime Commissioner for Derbyshire
University of Leeds,University of Leeds
LondonEnergy Ltd,LondonEnergy Ltd
Milton Keynes Council,Milton Keynes Council
West Oxfordshire District Council,West Oxfordshire District Council
The Griffin Schools Trust,The Griffin Schools Trust
Corserv Limited,Corserv Limited
Gov Facility Services Ltd,Gov Facility Services Ltd
Ipswich Borough Council,Ipswich Borough Council
City of London Corporation,City of London Corporation
West Yorkshire Police,West Yorkshire Police
AMEY OW LIMITED,AMEY OW LIMITED
St Helens College,St Helens College
Taylor Wimpey Ltd,Taylor Wimpey Ltd
South Downs National Park Authority,South Downs National Park Authority
UNIVERSITY OF SUSSEX(THE),UNIVERSITY OF SUSSEX(THE)
Peak District National Park Authority,Peak District National Park Authority
Rushmere St Andrew Parish Council,Rushmere St Andrew Parish Council
North Lincolnshire Council,North Lincolnshire Council
Amalgamated,Amalgamated
Lancing Parish Council,Lancing Parish Council
ST ALBANS CITY & DISTRICT,ST ALBANS CITY & DISTRICT
BALFOUR BEATTY LIVING PLACES LIMITED,BALFOUR BEATTY LIVING PLACES LIMITED
The Sir John Brunner Foundation,The Sir John Brunner Foundation
London Borough of Croydon,London Borough of Croydon
Freebridge Community Housing Limited,Freebridge Community Housing Limited
Kier Infrastructure and Overseas Limited - CP7 NWC,Kier Infrastructure and Overseas Limited - CP7 NWC
Historic England,Historic England
University Hospitals Dorset NHS Foundation Trust,University Hospitals Dorset NHS Foundation Trust
Shropshire Healthcare Procurement Service,Shropshire Healthcare Procurement Service
Saffron Walden Town Council,Saffron Walden Town Council
Procurement Assist Limited c/o Integrated Facilities Management Bolton Ltd (iFM Bolton),Procurement Assist Limited c/o Integrated Facilities Management Bolton Ltd (iFM Bolton)
South Tyneside Council,South Tyneside Council
London Ambulance Service NHS Trust,London Ambulance Service NHS Trust
South Oxfordshire District Council,South Oxfordshire District Council
